Word,Normalized Score,Unique Letter Count,Unique Letters
Bab,1.946,2,ab
Baba,2.079,2,ab
Babai,2.197,3,abi
Babaylan,2.708,5,ablny
Babaylanes,2.833,7,abelnsy
Babajaga,2.996,4,abgj
Babakoto,2.773,5,abkot
Babas,2.197,3,abs
Babasco,2.565,5,abcos
Babasu,2.303,4,absu
Babcock,2.944,5,abcko
Babe,2.079,3,abe
Babel,2.197,4,abel
Babeldom,2.708,7,abdelmo
Babelet,2.398,5,abelt
Babelic,2.565,6,abceil
Babelike,2.773,6,abeikl
Babelish,2.708,7,abehils
Babelism,2.639,7,abeilms
Babelize,3.045,6,abeilz
Babels,2.303,5,abels
Babery,2.565,5,abery
Babes,2.197,4,abes
Babeship,2.833,7,abehips
Babesia,2.398,5,abeis
Babesias,2.485,5,abeis
Babesiasis,2.639,5,abeis
Babesiosis,2.639,6,abeios
Babhan,2.565,4,abhn
Babi,2.079,3,abi
Baby,2.398,3,aby
Babiana,2.398,4,abin
Babiche,2.773,6,abcehi
Babiches,2.833,7,abcehis
Babydom,2.833,6,abdmoy
Babied,2.398,5,abdei
Babies,2.303,5,abeis
Babyfied,2.944,7,abdefiy
Babyhouse,2.944,8,abehosuy
Babying,2.708,6,abginy
Babyish,2.833,6,abhisy
Babyishly,3.091,7,abhilsy
Babyism,2.773,6,abimsy
Babylike,2.944,7,abeikly
Babylon,2.639,6,ablnoy
Babylonia,2.773,7,abilnoy
Babylonian,2.833,7,abilnoy
Babylonians,2.89,8,abilnosy
Babylonic,2.89,8,abcilnoy
Babylonish,2.996,9,abhilnosy
Babylonism,2.944,9,abilmnosy
Babylonite,2.833,9,abeilnoty
Babylonize,3.258,9,abeilnoyz
Babine,2.303,5,abein
Babingtonite,2.833,8,abeginot
Babyolatry,2.996,7,ablorty
Babion,2.303,5,abino
Babirousa,2.565,7,abiorsu
Babirusa,2.485,6,abirsu
Babirusas,2.565,6,abirsu
Babis,2.197,4,abis
Babysat,2.639,5,absty
Babish,2.565,5,abhis
Babished,2.773,7,abdehis
Babyship,2.996,7,abhipsy
Babishly,2.89,7,abhilsy
Babysit,2.639,6,abisty
Babism,2.485,5,abims
Babist,2.303,5,abist
Babite,2.303,5,abeit
Babka,2.565,3,abk
Babkas,2.639,4,abks
Bablah,2.565,4,abhl
Bable,2.197,4,abel
Babloh,2.565,5,abhlo
Baboen,2.303,5,abeno
Babongo,2.485,5,abgno
Babouche,2.833,7,abcehou
Babouvism,2.89,8,abimosuv
Babouvist,2.773,8,abiostuv
Babracot,2.639,6,abcort
Babs,2.079,3,abs
Babu,2.079,3,abu
Babua,2.197,3,abu
Babudom,2.639,6,abdmou
Babuina,2.398,5,abinu
Babuism,2.565,6,abimsu
Babul,2.197,4,ablu
Babuls,2.303,5,ablsu
Babuma,2.485,4,abmu
Babungera,2.639,7,abegnru
Baburd,2.398,5,abdru
Babus,2.197,4,absu
Babushka,2.944,6,abhksu
Babushkas,2.996,6,abhksu
Bac,1.946,3,abc
Bacaba,2.485,3,abc
Bacach,2.708,4,abch
Bacalao,2.398,5,abclo
Bacalaos,2.485,6,abclos
Bacao,2.197,4,abco
Bacauan,2.398,5,abcnu
Bacbakiri,2.944,6,abcikr
Bach,2.398,4,abch
Bacharach,3.045,5,abchr
Bache,2.485,5,abceh
Bached,2.639,6,abcdeh
Bachel,2.565,6,abcehl
Bachelor,2.708,8,abcehlor
Bachelordom,3.045,10,abcdehlmor
Bachelorism,2.996,11,abcehilmors
Bachelorize,3.296,10,abcehilorz
Bachelorly,2.996,9,abcehlory
Bachelorlike,3.135,10,abcehiklor
Bachelors,2.773,9,abcehlors
Bachelorship,3.178,11,abcehiloprs
Bachelorwise,3.091,11,abcehilorsw
