Word,Normalized Score,Unique Letter Count,Unique Letters
Cab,1.946,3,abc
Caba,2.079,3,abc
Caback,2.773,4,abck
Cabaho,2.565,5,abcho
Cabal,2.197,4,abcl
Cabala,2.303,4,abcl
Cabalas,2.398,5,abcls
Cabalic,2.565,5,abcil
Cabalism,2.639,7,abcilms
Cabalisms,2.708,7,abcilms
Cabalist,2.485,7,abcilst
Cabalistic,2.773,7,abcilst
Cabalistical,2.89,7,abcilst
Cabalists,2.565,7,abcilst
Cabals,2.303,5,abcls
Caban,2.197,4,abcn
Cabana,2.303,4,abcn
Cabanas,2.398,5,abcns
Cabane,2.303,5,abcen
Cabaret,2.398,6,abcert
Cabaretier,2.639,7,abceirt
Cabarets,2.485,7,abcerst
Cabas,2.197,4,abcs
Cabasa,2.303,4,abcs
Cabda,2.303,4,abcd
Cabdriver,2.833,8,abcdeirv
Cabdriving,2.944,9,abcdginrv
Cabecera,2.639,5,abcer
Cabecudo,2.708,7,abcdeou
Cabeliau,2.485,7,abceilu
Caber,2.197,5,abcer
Cabernet,2.485,7,abcenrt
Cabernets,2.565,8,abcenrst
Cabers,2.303,6,abcers
Cabestro,2.485,8,abceorst
Cabestros,2.565,8,abceorst
Cabezon,2.996,7,abcenoz
Cabezone,3.045,7,abcenoz
Cabezones,3.091,8,abcenosz
Cabezons,3.045,8,abcenosz
Cabful,2.565,6,abcflu
Cabiai,2.303,4,abci
Cabildo,2.485,7,abcdilo
Cabildos,2.565,8,abcdilos
Cabin,2.197,5,abcin
Cabinda,2.485,6,abcdin
Cabined,2.485,7,abcdein
Cabinet,2.398,7,abceint
Cabineted,2.639,8,abcdeint
Cabineting,2.708,8,abcegint
Cabinetmake,3.045,9,abceikmnt
Cabinetmaker,3.091,10,abceikmnrt
Cabinetmakers,3.135,11,abceikmnrst
Cabinetmaking,3.178,10,abcegikmnt
Cabinetry,2.773,9,abceinrty
Cabinets,2.485,8,abceinst
Cabinetwork,3.091,11,abceiknortw
Cabinetworker,3.178,11,abceiknortw
Cabinetworking,3.258,12,abcegiknortw
Cabining,2.565,6,abcgin
Cabinlike,2.833,8,abceikln
Cabins,2.303,6,abcins
Cabio,2.197,5,abcio
Cabirean,2.485,7,abceinr
Cabiri,2.303,5,abcir
Cabiria,2.398,5,abcir
Cabirian,2.485,6,abcinr
Cabiric,2.565,5,abcir
Cabiritic,2.708,6,abcirt
Cable,2.197,5,abcel
Cablecast,2.708,7,abcelst
Cabled,2.398,6,abcdel
Cablegram,2.773,8,abceglmr
Cablegrams,2.833,9,abceglmrs
Cablelaid,2.639,7,abcdeil
Cablelike,2.833,7,abceikl
Cableman,2.639,7,abcelmn
Cablemen,2.639,7,abcelmn
Cabler,2.303,6,abcelr
Cables,2.303,6,abcels
Cablese,2.398,6,abcels
Cablet,2.303,6,abcelt
Cablets,2.398,7,abcelst
Cableway,2.89,7,abcelwy
Cableways,2.944,8,abcelswy
Cabling,2.485,7,abcgiln
Cablish,2.639,7,abchils
Cabman,2.485,5,abcmn
Cabmen,2.485,6,abcemn
Cabob,2.398,4,abco
Cabobs,2.485,5,abcos
Caboche,2.773,6,abceho
Caboched,2.89,7,abcdeho
Cabochon,2.833,6,abchno
Cabochons,2.89,7,abchnos
Cabocle,2.565,6,abcelo
Caboclo,2.565,5,abclo
Caboclos,2.639,6,abclos
Cabomba,2.708,5,abcmo
Cabombaceae,3.045,6,abcemo
Cabombas,2.773,6,abcmos
Caboshed,2.773,8,abcdehos
Cabot,2.197,5,abcot
Cabotage,2.565,7,abcegot
Cabotages,2.639,8,abcegost
Cabotin,2.398,7,abcinot
Cabotinage,2.708,9,abceginot
Cabots,2.303,6,abcost
Cabouca,2.565,5,abcou
Cabre,2.197,5,abcer
Cabrerite,2.565,7,abceirt
Cabresta,2.485,7,abcerst
Cabrestas,2.565,7,abcerst
Cabresto,2.485,8,abceorst
Cabrestos,2.565,8,abceorst
Cabret,2.303,6,abcert
Cabreuva,2.708,7,abceruv
Cabrie,2.303,6,abceir
Cabriole,2.485,8,abceilor
Cabrioles,2.565,9,abceilors
Cabriolet,2.565,9,abceilort
Cabriolets,2.639,10,abceilorst
Cabrit,2.303,6,abcirt
Cabrito,2.398,7,abciort
Cabs,2.079,4,abcs
Cabstand,2.565,7,abcdnst
Cabstands,2.639,7,abcdnst
Cabuya,2.565,5,abcuy
Cabuyas,2.639,6,abcsuy
Cabuja,2.833,5,abcju
Cabureiba,2.708,7,abceiru
Caburn,2.303,6,abcnru
Caca,2.079,2,ac
Cacaesthesia,2.944,7,acehist
Cacafuego,2.833,7,acefgou
Cacafugo,2.773,6,acfgou
Cacajao,2.89,4,acjo
Cacalia,2.398,4,acil
Cacam,2.398,3,acm
Cacan,2.197,3,acn
Cacana,2.303,3,acn
Cacanapa,2.639,4,acnp
Cacanthrax,3.178,7,achnrtx
Cacao,2.197,3,aco
Cacaos,2.303,4,acos
Cacara,2.303,3,acr
Cacas,2.197,3,acs
Cacatua,2.398,4,actu
Cacatuidae,2.708,7,acdeitu
Cacatuinae,2.639,7,aceintu
