Word,Normalized Score,Unique Letter Count,Unique Letters
Fab,2.079,3,abf
Faba,2.197,3,abf
Fabaceae,2.708,5,abcef
Fabaceous,2.773,8,abcefosu
Fabes,2.303,5,abefs
Fabian,2.398,5,abfin
Fabianism,2.773,7,abfimns
Fabianist,2.639,7,abfinst
Fabiform,2.89,7,abfimor
Fable,2.303,5,abefl
Fabled,2.485,6,abdefl
Fabledom,2.773,8,abdeflmo
Fableist,2.565,8,abefilst
Fableland,2.708,7,abdefln
Fablemaker,3.045,8,abefklmr
Fablemonger,2.944,10,abefglmnor
Fablemongering,3.135,11,abefgilmnor
Fabler,2.398,6,abeflr
Fablers,2.485,7,abeflrs
Fables,2.398,6,abefls
Fabliau,2.485,6,abfilu
Fabliaux,2.996,7,abfilux
Fabling,2.565,7,abfgiln
Fabraea,2.485,5,abefr
Fabric,2.565,6,abcfir
Fabricable,2.944,8,abcefilr
Fabricant,2.773,8,abcfinrt
Fabricate,2.773,8,abcefirt
Fabricated,2.89,9,abcdefirt
Fabricates,2.833,9,abcefirst
Fabricating,2.944,9,abcfginrt
Fabrication,2.89,9,abcfinort
Fabricational,2.996,10,abcfilnort
Fabrications,2.944,10,abcfinorst
Fabricative,3.045,9,abcefirtv
Fabricator,2.833,8,abcfiort
Fabricators,2.89,9,abcfiorst
Fabricature,2.89,9,abcefirtu
Fabrics,2.639,7,abcfirs
Fabrikoid,2.944,8,abdfikor
Fabrile,2.485,7,abefilr
Fabrique,3.091,8,abefiqru
Fabronia,2.565,7,abfinor
Fabroniaceae,2.944,9,abcefinor
Fabula,2.398,5,abflu
Fabular,2.485,6,abflru
Fabulate,2.565,7,abefltu
Fabulist,2.565,8,abfilstu
Fabulists,2.639,8,abfilstu
Fabulize,3.091,8,abefiluz
Fabulosity,2.89,10,abfilostuy
Fabulous,2.565,7,abflosu
Fabulously,2.89,8,abflosuy
Faburden,2.639,8,abdefnru
Fac,2.079,3,acf
Facadal,2.565,5,acdfl
Facade,2.485,5,acdef
Facaded,2.639,5,acdef
Facades,2.565,6,acdefs
Face,2.197,4,acef
Faceable,2.708,6,abcefl
Facebar,2.639,6,abcefr
Facebow,2.833,7,abcefow
Facebread,2.833,7,abcdefr
Facecloth,2.944,8,acefhlot
Faced,2.398,5,acdef
Facedown,2.833,8,acdefnow
Faceharden,2.944,8,acdefhnr
Facelift,2.773,7,acefilt
Facelifts,2.833,8,acefilst
Facemaker,2.996,7,acefkmr
Facemaking,3.091,9,acefgikmn
Faceman,2.639,6,acefmn
Facemark,2.944,7,acefkmr
Facepiece,2.89,6,acefip
Faceplate,2.773,7,aceflpt
Facer,2.303,5,acefr
Facers,2.398,6,acefrs
Faces,2.303,5,acefs
Facesaving,2.944,9,acefginsv
Facet,2.303,5,aceft
Facete,2.398,5,aceft
Faceted,2.565,6,acdeft
Facetely,2.773,7,aceflty
Facetiae,2.565,6,acefit
Facetiation,2.773,8,acefinot
Faceting,2.639,8,acefgint
Facetious,2.639,9,acefiostu
Facetiously,2.944,11,acefilostuy
Facets,2.398,6,acefst
Faceup,2.565,6,acefpu
Facewise,2.773,7,acefisw
Facework,2.996,8,acefkorw
Facy,2.485,4,acfy
Facia,2.303,4,acfi
Facial,2.398,5,acfil
Facials,2.485,6,acfils
Facias,2.398,5,acfis
Faciata,2.485,5,acfit
Faciation,2.639,7,acfinot
Facie,2.303,5,acefi
Faciend,2.565,7,acdefin
Faciends,2.639,8,acdefins
Faciendum,2.833,9,acdefimnu
