Word,Normalized Score,Unique Letter Count,Unique Letters
Gab,1.792,3,abg
Gabardine,2.565,8,abdeginr
Gabardines,2.639,9,abdeginrs
Gabari,2.197,5,abgir
Gabarit,2.303,6,abgirt
Gabe,1.946,4,abeg
Gabeler,2.303,6,abeglr
Gabendum,2.639,8,abdegmnu
Gaberdine,2.565,8,abdeginr
Gaberdines,2.639,9,abdeginrs
Gaberlunzie,3.135,10,abegilnruz
Gabert,2.197,6,abegrt
Gabfest,2.565,7,abefgst
Gabfests,2.639,7,abefgst
Gabgab,2.485,3,abg
Gabi,1.946,4,abgi
Gaby,2.303,4,abgy
Gabies,2.197,6,abegis
Gabion,2.197,6,abgino
Gabionade,2.565,8,abdegino
Gabionage,2.565,7,abegino
Gabioned,2.485,8,abdegino
Gabions,2.303,7,abginos
Gablatores,2.565,9,abeglorst
Gable,2.079,5,abegl
Gableboard,2.773,8,abdeglor
Gabled,2.303,6,abdegl
Gablelike,2.773,7,abegikl
Gabler,2.197,6,abeglr
Gables,2.197,6,abegls
Gablet,2.197,6,abeglt
Gablewindowed,3.178,10,abdegilnow
Gablewise,2.708,8,abegilsw
Gabling,2.398,6,abgiln
Gablock,2.773,7,abcgklo
Gabon,2.079,5,abgno
Gabriel,2.303,7,abegilr
Gabrielrache,2.996,9,abceghilr
Gabs,1.946,4,abgs
Gabunese,2.398,7,abegnsu
Gachupin,2.773,8,acghinpu
Gad,1.609,3,adg
Gadaba,2.303,4,abdg
Gadabout,2.485,7,abdgotu
Gadabouts,2.565,8,abdgostu
Gadaea,2.079,4,adeg
Gadarene,2.303,6,adegnr
Gadaria,2.197,5,adgir
Gadbush,2.639,7,abdghsu
Gade,1.792,4,adeg
Gadean,2.079,5,adegn
Gader,1.946,5,adegr
Gades,1.946,5,adegs
Gadfly,2.639,6,adfgly
Gadflies,2.565,8,adefgils
Gadge,2.079,4,adeg
Gadger,2.197,5,adegr
Gadget,2.197,5,adegt
Gadgety,2.565,6,adegty
Gadgetry,2.639,7,adegrty
Gadgetries,2.565,8,adegirst
Gadgets,2.303,6,adegst
Gadhelic,2.708,8,acdeghil
Gadi,1.792,4,adgi
Gadid,2.079,4,adgi
Gadidae,2.303,5,adegi
Gadids,2.197,5,adgis
Gadinic,2.398,6,acdgin
Gadinine,2.303,6,adegin
Gadis,1.946,5,adgis
Gaditan,2.197,6,adgint
Gadite,2.079,6,adegit
Gadling,2.303,6,adgiln
Gadman,2.303,5,adgmn
Gadoid,2.197,5,adgio
Gadoidea,2.398,6,adegio
Gadoids,2.303,6,adgios
Gadolinia,2.398,7,adgilno
Gadolinic,2.565,8,acdgilno
Gadolinite,2.485,9,adegilnot
Gadolinium,2.639,9,adgilmnou
Gads,1.792,4,adgs
Gadsbodikins,3.045,9,abdgiknos
Gadsbud,2.485,6,abdgsu
Gadslid,2.303,6,adgils
Gadsman,2.398,6,adgmns
Gadso,1.946,5,adgos
Gaduin,2.079,6,adginu
Gadus,1.946,5,adgsu
Gae,1.386,3,aeg
Gaea,1.609,3,aeg
Gaed,1.792,4,adeg
Gaedelian,2.398,7,adegiln
Gaedown,2.485,7,adegnow
Gael,1.609,4,aegl
Gaeldom,2.398,7,adeglmo
Gaelic,2.197,6,acegil
Gaelicism,2.639,8,acegilms
