Word,Normalized Score,Unique Letter Count,Unique Letters
Lab,1.609,3,abl
Labadist,2.398,7,abdilst
Laban,1.946,4,abln
Labara,2.079,4,ablr
Labaria,2.197,5,abilr
Labarum,2.398,6,ablmru
Labarums,2.485,7,ablmrsu
Labdacism,2.773,8,abcdilms
Labdacismus,2.89,9,abcdilmsu
Labdanum,2.565,7,abdlmnu
Labdanums,2.639,8,abdlmnsu
Labefact,2.708,7,abceflt
Labefactation,2.996,10,abcefilnot
Labefaction,2.89,10,abcefilnot
Labefy,2.639,6,abefly
Labefied,2.639,7,abdefil
Labefying,2.89,9,abefgilny
Label,1.946,4,abel
Labeled,2.303,5,abdel
Labeler,2.197,5,abelr
Labelers,2.303,6,abelrs
Labeling,2.398,7,abegiln
Labels,2.079,5,abels
Labia,1.946,4,abil
Labial,2.079,4,abil
Labialisation,2.708,8,abilnost
Labialise,2.398,6,abeils
Labialised,2.565,7,abdeils
Labialising,2.639,7,abgilns
Labialism,2.565,6,abilms
Labialismus,2.708,7,abilmsu
Labiality,2.639,6,abilty
Labialization,3.178,8,abilnotz
Labialize,2.996,6,abeilz
Labialized,3.091,7,abdeilz
Labializing,3.135,7,abgilnz
Labials,2.197,5,abils
Labiatae,2.303,6,abeilt
Labiate,2.197,6,abeilt
Labiated,2.398,7,abdeilt
Labiates,2.303,7,abeilst
Labiatiflorous,2.944,10,abfilorstu
Labibia,2.398,4,abil
Labidometer,2.773,10,abdeilmort
Labidophorous,3.045,11,abdhiloprsu
Labidura,2.398,7,abdilru
Labiduridae,2.708,8,abdeilru
Labile,2.079,5,abeil
Lability,2.565,6,abilty
Labilities,2.485,7,abeilst
Labilization,3.135,8,abilnotz
Labilize,2.944,6,abeilz
Labilized,3.045,7,abdeilz
Labilizing,3.091,7,abgilnz
Labioalveolar,2.89,8,abeilorv
Labiocervical,3.091,9,abceilorv
Labiodendal,2.708,8,abdeilno
Labiodental,2.639,9,abdeilnot
Labiograph,2.89,9,abghilopr
Labiolingual,2.708,8,abgilnou
Labiomancy,2.944,9,abcilmnoy
Labiomental,2.708,9,abeilmnot
Labionasal,2.485,7,abilnos
Labiopalatal,2.773,7,abilopt
Labiopalatalize,3.332,9,abeiloptz
Labiopalatine,2.833,9,abeilnopt
Labiopharyngeal,3.258,12,abeghilnopry
Labioplasty,2.89,9,abilopsty
Labiose,2.197,7,abeilos
Labiotenaculum,2.996,11,abceilmnotu
Labiovelar,2.708,8,abeilorv
Labiovelarisation,3.091,11,abeilnorstv
Labiovelarise,2.89,9,abeilorsv
Labiovelarised,2.996,10,abdeilorsv
Labiovelarising,3.045,11,abegilnorsv
Labiovelarization,3.434,11,abeilnortvz
Labiovelarize,3.296,9,abeilorvz
Labiovelarized,3.367,10,abdeilorvz
Labiovelarizing,3.401,11,abegilnorvz
Labioversion,2.833,10,abeilnorsv
Labyrinth,2.833,9,abhilnrty
Labyrinthal,2.944,9,abhilnrty
Labyrinthed,2.996,11,abdehilnrty
Labyrinthian,2.996,9,abhilnrty
Labyrinthibranch,3.434,10,abchilnrty
Labyrinthibranchiate,3.555,11,abcehilnrty
Labyrinthic,3.045,10,abchilnrty
Labyrinthical,3.135,10,abchilnrty
Labyrinthici,3.091,10,abchilnrty
Labyrinthiform,3.296,12,abfhilmnorty
Labyrinthine,2.996,10,abehilnrty
Labyrinthitis,3.045,10,abhilnrsty
Labyrinthodon,3.091,11,abdhilnorty
Labyrinthodont,3.135,11,abdhilnorty
Labyrinthodonta,3.178,11,abdhilnorty
Labyrinthodontian,3.258,11,abdhilnorty
Labyrinthodontid,3.258,11,abdhilnorty
Labyrinthodontoid,3.296,11,abdhilnorty
Labyrinths,2.89,10,abhilnrsty
Labyrinthula,2.996,10,abhilnrtuy
Labyrinthulidae,3.178,12,abdehilnrtuy
Labis,1.946,5,abils
Labite,2.079,6,abeilt
Labium,2.303,6,abilmu
Lablab,2.303,3,abl
Labor,1.946,5,ablor
Laborability,2.944,8,abilorty
Laborable,2.565,6,abelor
Laborage,2.398,7,abeglor
Laborant,2.303,7,ablnort
Laboratory,2.708,7,ablorty
Laboratorial,2.639,7,abilort
Laboratorian,2.639,8,abilnort
Laboratories,2.639,9,abeilorst
Labordom,2.565,7,abdlmor
Labored,2.303,7,abdelor
Laboredly,2.708,8,abdelory
Laborer,2.197,6,abelor
Laborers,2.303,7,abelors
Labores,2.197,7,abelors
Laboring,2.398,8,abgilnor
Laboringly,2.773,9,abgilnory
Laborings,2.485,9,abgilnors
Laborious,2.398,8,abilorsu
Laboriously,2.773,9,abilorsuy
Laborism,2.485,8,abilmors
Laborist,2.303,8,abilorst
Laboristic,2.639,9,abcilorst
Laborite,2.303,8,abeilort
Laborites,2.398,9,abeilorst
Laborius,2.303,8,abilorsu
Laborous,2.303,7,ablorsu
Laborously,2.708,8,ablorsuy
Labors,2.079,6,ablors
Laborsaving,2.833,10,abgilnorsv
Laborsome,2.565,8,abelmors
Laborsomely,2.89,9,abelmorsy
Laboulbenia,2.708,8,abeilnou
Laboulbeniaceae,3.045,9,abceilnou
Laboulbeniaceous,3.091,10,abceilnosu
Laboulbeniales,2.89,9,abeilnosu
Labour,2.079,6,abloru
Labourage,2.485,8,abegloru
Laboured,2.398,8,abdeloru
Labouredly,2.773,9,abdeloruy
Labourer,2.303,7,abeloru
Labourers,2.398,8,abelorsu
Labouring,2.485,9,abgilnoru
Labouringly,2.833,10,abgilnoruy
Labourism,2.565,9,abilmorsu
Labourist,2.398,9,abilorstu
Labourite,2.398,9,abeilortu
Labours,2.197,7,ablorsu
Laboursaving,2.89,11,abgilnorsuv
Laboursome,2.639,9,abelmorsu
Laboursomely,2.944,10,abelmorsuy
Labra,1.946,4,ablr
Labrador,2.398,6,abdlor
Labradorean,2.639,8,abdelnor
Labradorite,2.639,9,abdeilort
Labradoritic,2.833,9,abcdilort
Labral,2.079,4,ablr
Labras,2.079,5,ablrs
Labredt,2.303,7,abdelrt
Labret,2.079,6,abelrt
Labretifery,2.944,9,abefilrty
Labrets,2.197,7,abelrst
Labrid,2.197,6,abdilr
Labridae,2.398,7,abdeilr
Labrys,2.398,6,ablrsy
Labroid,2.303,7,abdilor
Labroidea,2.485,8,abdeilor
Labroids,2.398,8,abdilors
Labrosaurid,2.639,9,abdilorsu
Labrosauroid,2.708,9,abdilorsu
Labrosaurus,2.565,7,ablorsu
Labrose,2.197,7,abelors
Labrum,2.303,6,ablmru
Labrums,2.398,7,ablmrsu
Labrus,2.079,6,ablrsu
Labrusca,2.485,7,abclrsu
Labs,1.792,4,abls
Laburnum,2.485,7,ablmnru
Laburnums,2.565,8,ablmnrsu
Lac,1.609,3,acl
Lacatan,2.197,5,aclnt
Lace,1.792,4,acel
Lacebark,2.773,7,abceklr
Laced,2.079,5,acdel
Lacedaemonian,2.89,9,acdeilmno
Laceflower,2.89,8,aceflorw
Lacey,2.303,5,acely
Laceybark,2.996,8,abceklry
Laceier,2.197,6,aceilr
Laceiest,2.303,7,aceilst
Laceleaf,2.565,5,acefl
Lacelike,2.639,6,aceikl
Lacemaker,2.833,7,aceklmr
Lacemaking,2.944,9,acegiklmn
Laceman,2.398,6,acelmn
Lacemen,2.398,6,acelmn
Lacepiece,2.708,6,aceilp
Lacepod,2.485,7,acdelop
Lacer,1.946,5,acelr
Lacerability,2.944,9,abceilrty
Lacerable,2.565,6,abcelr
Lacerant,2.303,7,acelnrt
Lacerate,2.303,6,acelrt
Lacerated,2.485,7,acdelrt
Lacerately,2.708,7,acelrty
Lacerates,2.398,7,acelrst
Lacerating,2.565,9,acegilnrt
Laceration,2.485,9,aceilnort
Lacerations,2.565,10,aceilnorst
Lacerative,2.708,8,aceilrtv
Lacery,2.398,6,acelry
Lacerna,2.197,6,acelnr
