Word,Normalized Score,Unique Letter Count,Unique Letters
Nab,1.609,3,abn
Nabak,2.398,4,abkn
Nabal,1.946,4,abln
Nabalism,2.485,7,abilmns
Nabalite,2.303,7,abeilnt
Nabalitic,2.565,7,abcilnt
Nabaloi,2.197,6,abilno
Nabalus,2.197,6,ablnsu
Nabataean,2.398,5,abent
Nabatean,2.303,5,abent
Nabathaean,2.708,6,abehnt
Nabathean,2.639,6,abehnt
Nabathite,2.639,7,abehint
Nabcheat,2.708,7,abcehnt
Nabis,1.946,5,abins
Nabk,2.303,4,abkn
Nabla,1.946,4,abln
Nablas,2.079,5,ablns
Nable,1.946,5,abeln
Nablus,2.079,6,ablnsu
Nabob,2.197,4,abno
Nabobery,2.708,7,abenory
Naboberies,2.639,8,abeinors
Nabobical,2.708,7,abcilno
Nabobish,2.708,7,abhinos
Nabobishly,2.996,9,abhilnosy
Nabobism,2.639,7,abimnos
Nabobisms,2.708,7,abimnos
Nabobry,2.639,6,abnory
Nabobrynabobs,3.178,7,abnorsy
Nabobs,2.303,5,abnos
Nabobship,2.89,8,abhinops
Naboth,2.398,6,abhnot
Nabothian,2.639,7,abhinot
Nabs,1.792,4,abns
Nabu,1.792,4,abnu
Nacarat,2.197,5,acnrt
Nacarine,2.303,6,aceinr
Nace,1.792,4,acen
Nach,2.197,4,achn
Nachani,2.485,5,achin
Nachas,2.398,5,achns
Nache,2.303,5,acehn
Nachitoch,2.944,7,achinot
Nachitoches,3.045,9,acehinost
Nacho,2.303,5,achno
Nachschlag,3.045,7,acghlns
Nachus,2.398,6,achnsu
Nacionalista,2.639,8,acilnost
Nacket,2.485,6,aceknt
Nacre,1.946,5,acenr
Nacred,2.197,6,acdenr
Nacreous,2.303,8,acenorsu
Nacres,2.079,6,acenrs
Nacry,2.303,5,acnry
Nacrine,2.197,6,aceinr
Nacrite,2.197,7,aceinrt
Nacrous,2.197,7,acnorsu
Nad,1.386,3,adn
Nada,1.609,3,adn
Nadir,1.792,5,adinr
Nadiral,2.079,6,adilnr
Nadirs,1.946,6,adinrs
Nadorite,2.197,8,adeinort
Nae,1.099,3,aen
Naebody,2.565,7,abdenoy
Naegait,2.079,6,aegint
Naegate,2.079,5,aegnt
Naegates,2.197,6,aegnst
Nael,1.386,4,aeln
Naemorhedinae,2.944,9,adehimnor
Naemorhedine,2.89,9,adehimnor
Naemorhedus,2.833,10,adehmnorsu
Naether,2.303,6,aehnrt
Naething,2.485,7,aeghint
Naethings,2.565,8,aeghinst
