Word,Normalized Score,Unique Letter Count,Unique Letters
Oad,1.386,3,ado
Oadal,1.792,4,adlo
Oaf,1.792,3,afo
Oafdom,2.485,5,adfmo
Oafish,2.485,6,afhios
Oafishly,2.833,8,afhilosy
Oafs,1.946,4,afos
Oak,1.946,3,ako
Oakboy,2.708,5,abkoy
Oaken,2.197,5,aekno
Oakenshaw,2.944,8,aehknosw
Oakesia,2.398,6,aeikos
Oaky,2.398,4,akoy
Oakland,2.485,6,adklno
Oaklet,2.303,6,aeklot
Oaklike,2.708,6,aeiklo
Oakling,2.485,7,agiklno
Oaks,2.079,4,akos
Oaktongue,2.639,8,aegknotu
Oakum,2.398,5,akmou
Oakums,2.485,6,akmosu
Oakweb,2.708,6,abekow
Oam,1.609,3,amo
Oar,1.099,3,aor
Oarage,1.946,5,aegor
Oarcock,2.708,5,ackor
Oared,1.792,5,adeor
Oarfish,2.565,7,afhiors
Oarfishes,2.708,8,aefhiors
Oarhole,2.303,6,aehlor
Oary,1.946,4,aory
Oarial,1.792,5,ailor
Oarialgia,2.303,6,agilor
Oaric,1.946,5,acior
Oaring,1.946,6,aginor
Oariocele,2.398,7,aceilor
Oariopathy,2.89,8,ahioprty
Oariopathic,2.89,8,achioprt
Oariotomy,2.639,7,aimorty
Oaritic,2.197,6,aciort
Oaritis,1.946,6,aiorst
Oarium,2.079,6,aimoru
Oarlike,2.398,7,aeiklor
Oarlock,2.565,6,acklor
Oarlocks,2.639,7,acklors
Oarlop,2.079,5,alopr
Oarman,2.079,5,amnor
Oars,1.386,4,aors
Oarsman,2.197,6,amnors
Oarsmanship,2.89,9,ahimnoprs
Oarsmen,2.197,7,aemnors
Oarswoman,2.639,7,amnorsw
Oarswomen,2.639,8,aemnorsw
Oasal,1.609,4,alos
Oasean,1.792,5,aenos
Oases,1.609,4,aeos
Oasis,1.609,4,aios
Oasitic,2.197,6,aciost
Oast,1.386,4,aost
Oasthouse,2.485,7,aehostu
Oasts,1.609,4,aost
Oat,1.099,3,aot
Oatbin,2.079,6,abinot
Oatcake,2.565,6,acekot
Oatcakes,2.639,7,acekost
Oatear,1.792,5,aeort
Oaten,1.609,5,aenot
Oatenmeal,2.398,7,aelmnot
Oater,1.609,5,aeort
Oaters,1.792,6,aeorst
Oatfowl,2.565,6,aflotw
Oath,1.946,4,ahot
Oathay,2.485,5,ahoty
Oathed,2.303,6,adehot
Oathful,2.565,7,afhlotu
Oathlet,2.303,6,aehlot
Oaths,2.079,5,ahost
Oathworthy,3.091,7,ahortwy
Oaty,1.946,4,aoty
Oatland,2.079,6,adlnot
Oatlike,2.398,7,aeiklot
Oatmeal,2.197,6,aelmot
Oatmeals,2.303,7,aelmost
Oats,1.386,4,aost
Oaves,2.079,5,aeosv
Oba,1.609,3,abo
Obadiah,2.565,6,abdhio
Obambulate,2.773,8,abelmotu
Obambulation,2.89,9,abilmnotu
Obambulatory,3.045,9,ablmortuy
Oban,1.792,4,abno
Obarne,2.079,6,abenor
Obarni,2.079,6,abinor
Obclavate,2.773,8,abcelotv
Obclude,2.485,7,bcdelou
Obconic,2.565,5,bcino
Obconical,2.708,7,abcilno
Obcordate,2.639,8,abcdeort
Obcordiform,3.045,8,bcdfimor
Obcuneate,2.565,8,abcenotu
Obdeltoid,2.565,7,bdeilot
Obdiplostemony,3.178,12,bdeilmnopsty
Obdiplostemonous,3.135,12,bdeilmnopstu
Obdormition,2.773,8,bdimnort
Obdt,1.946,4,bdot
Obduce,2.398,6,bcdeou
Obduction,2.639,8,bcdinotu
Obduracy,2.773,8,abcdoruy
Obduracies,2.708,10,abcdeiorsu
Obdurate,2.398,8,abdeortu
Obdurated,2.565,8,abdeortu
Obdurately,2.773,10,abdelortuy
Obdurating,2.639,10,abdginortu
Obduration,2.565,9,abdinortu
Obdure,2.197,6,bdeoru
Obe,1.609,3,beo
Obeah,2.303,5,abeho
Obeahism,2.708,8,abehimos
Obeahisms,2.773,8,abehimos
Obeahs,2.398,6,abehos
Obeche,2.565,5,bceho
Obedience,2.639,7,bcdeino
Obediences,2.708,8,bcdeinos
Obediency,2.833,8,bcdeinoy
Obedient,2.398,7,bdeinot
Obediential,2.639,9,abdeilnot
Obedientiar,2.639,9,abdeinort
Obedientiary,2.89,10,abdeinorty
Obedientiaries,2.833,10,abdeinorst
Obediently,2.773,9,bdeilnoty
Obey,2.197,4,beoy
Obeyable,2.708,6,abeloy
Obeyance,2.708,7,abcenoy
Obeyed,2.485,5,bdeoy
Obeyeo,2.398,4,beoy
Obeyer,2.398,5,beory
Obeyers,2.485,6,beorsy
Obeying,2.565,7,beginoy
Obeyingly,2.89,8,begilnoy
Obeys,2.303,5,beosy
Obeisance,2.565,8,abceinos
Obeisances,2.639,8,abceinos
Obeisant,2.303,8,abeinost
Obeisantly,2.708,10,abeilnosty
Obeish,2.398,6,behios
Obeism,2.303,6,beimos
Obeli,1.946,5,beilo
Obelia,2.079,6,abeilo
Obeliac,2.398,7,abceilo
Obelial,2.197,6,abeilo
Obelias,2.197,7,abeilos
Obelion,2.197,6,beilno
Obeliscal,2.565,8,abceilos
Obeliscar,2.565,9,abceilors
Obelise,2.197,6,beilos
Obelised,2.398,7,bdeilos
Obelises,2.303,6,beilos
Obelising,2.485,8,begilnos
Obelisk,2.565,7,beiklos
Obelisked,2.773,8,bdeiklos
Obelisking,2.833,9,begiklnos
Obeliskoid,2.833,8,bdeiklos
Obelisks,2.639,7,beiklos
Obelism,2.398,7,beilmos
Obelisms,2.485,7,beilmos
Obelize,2.89,6,beiloz
Obelized,2.996,7,bdeiloz
Obelizes,2.944,7,beilosz
Obelizing,3.045,8,begilnoz
Obelus,2.079,6,belosu
Oberon,2.079,5,benor
Obes,1.792,4,beos
Obese,1.946,4,beos
Obesely,2.485,6,belosy
Obesity,2.485,7,beiosty
Obesities,2.398,6,beiost
Obex,2.565,4,beox
Obfirm,2.565,6,bfimor
Obfuscable,2.944,9,abceflosu
Obfuscate,2.773,9,abcefostu
Obfuscated,2.89,10,abcdefostu
Obfuscates,2.833,9,abcefostu
Obfuscating,2.944,11,abcfginostu
Obfuscation,2.89,10,abcfinostu
Obfuscator,2.833,9,abcforstu
Obfuscatory,3.045,10,abcforstuy
Obfuscators,2.89,9,abcforstu
Obfuscity,2.944,9,bcfiostuy
Obfuscous,2.773,6,bcfosu
Obfusk,2.708,6,bfkosu
Obi,1.609,3,bio
