Word,Normalized Score,Unique Letter Count,Unique Letters
Paba,2.079,3,abp
Pabalum,2.565,6,ablmpu
Pablo,2.197,5,ablop
Pablum,2.485,6,ablmpu
Pabouch,2.773,7,abchopu
Pabular,2.398,6,ablpru
Pabulary,2.708,7,ablpruy
Pabulation,2.639,9,abilnoptu
Pabulatory,2.833,9,abloprtuy
Pabulous,2.485,7,ablopsu
Pabulum,2.565,6,ablmpu
Pabulums,2.639,7,ablmpsu
Pac,1.946,3,acp
Paca,2.079,3,acp
Pacable,2.565,6,abcelp
Pacaguara,2.639,6,acgpru
Pacay,2.485,4,acpy
Pacaya,2.565,4,acpy
Pacane,2.303,5,acenp
Pacas,2.197,4,acps
Pacate,2.303,5,acept
Pacately,2.708,7,acelpty
Pacation,2.485,7,acinopt
Pacative,2.708,7,aceiptv
Pace,2.079,4,acep
Paceboard,2.773,8,abcdeopr
Paced,2.303,5,acdep
Pacemake,2.89,6,acekmp
Pacemaker,2.944,7,acekmpr
Pacemakers,2.996,8,acekmprs
Pacemaking,3.045,9,acegikmnp
Pacer,2.197,5,acepr
Pacers,2.303,6,aceprs
Paces,2.197,5,aceps
Paceway,2.833,6,acepwy
Pacha,2.485,4,achp
Pachadom,2.89,7,acdhmop
Pachadoms,2.944,8,acdhmops
Pachak,2.833,5,achkp
Pachalic,2.833,6,achilp
Pachalics,2.89,7,achilps
Pachanga,2.773,6,acghnp
Pachas,2.565,5,achps
Pachyacria,3.091,7,achipry
Pachyaemia,3.091,8,acehimpy
Pachyblepharon,3.434,11,abcehlnopry
Pachycarpous,3.258,9,achoprsuy
Pachycephal,3.332,7,acehlpy
Pachycephaly,3.466,7,acehlpy
Pachycephalia,3.401,8,acehilpy
Pachycephalic,3.466,8,acehilpy
Pachycephalous,3.434,10,acehlopsuy
Pachychilia,3.258,7,achilpy
Pachychymia,3.434,7,achimpy
Pachycholia,3.258,8,achilopy
Pachycladous,3.219,10,acdhlopsuy
Pachydactyl,3.296,8,acdhlpty
Pachydactyly,3.434,8,acdhlpty
Pachydactylous,3.401,11,acdhlopstuy
Pachyderm,3.091,9,acdehmpry
Pachyderma,3.135,9,acdehmpry
Pachydermal,3.178,10,acdehlmpry
Pachydermata,3.219,10,acdehmprty
Pachydermateous,3.332,13,acdehmoprstuy
Pachydermatocele,3.434,12,acdehlmoprty
Pachydermatoid,3.332,12,acdehimoprty
Pachydermatosis,3.332,13,acdehimoprsty
Pachydermatous,3.296,13,acdehmoprstuy
Pachydermatously,3.466,14,acdehlmoprstuy
Pachydermia,3.178,10,acdehimpry
Pachydermial,3.219,11,acdehilmpry
Pachydermic,3.258,10,acdehimpry
Pachydermoid,3.258,11,acdehimopry
Pachydermous,3.219,12,acdehmoprsuy
Pachyderms,3.135,10,acdehmprsy
Pachyemia,3.045,8,acehimpy
Pachyhaemia,3.258,8,acehimpy
Pachyhaemic,3.332,8,acehimpy
Pachyhaemous,3.296,10,acehmopsuy
Pachyhematous,3.332,11,acehmopstuy
Pachyhemia,3.219,8,acehimpy
Pachyhymenia,3.401,9,acehimnpy
Pachyhymenic,3.466,9,acehimnpy
Pachylophus,3.258,9,achlopsuy
Pachylosis,2.996,9,achilopsy
Pachyma,2.944,6,achmpy
Pachymenia,3.091,9,acehimnpy
Pachymenic,3.178,9,acehimnpy
Pachymeningitic,3.401,11,aceghimnpty
Pachymeningitis,3.332,12,aceghimnpsty
Pachymeninx,3.401,10,acehimnpxy
Pachymeter,3.091,9,acehmprty
Pachynathous,3.219,10,achnopstuy
Pachynema,3.045,8,acehmnpy
Pachinko,2.944,8,achiknop
Pachynsis,2.944,8,achinpsy
Pachyntic,3.045,8,achinpty
Pachyodont,3.045,9,acdhnopty
Pachyotia,2.944,8,achiopty
Pachyotous,2.996,9,achopstuy
Pachyperitonitis,3.332,12,acehinoprsty
Pachypleuritic,3.332,11,acehilprtuy
Pachypod,3.045,7,acdhopy
Pachypodous,3.178,9,acdhopsuy
Pachypterous,3.178,11,acehoprstuy
