Word,Normalized Score,Unique Letter Count,Unique Letters
Qadarite,2.89,7,adeiqrt
Qadi,2.639,4,adiq
Qaf,2.708,3,afq
Qaid,2.639,4,adiq
Qaids,2.708,5,adiqs
Qaimaqam,3.401,4,aimq
Qanat,2.639,4,anqt
Qanats,2.708,5,anqst
Qantar,2.708,5,anqrt
Qasida,2.773,5,adiqs
Qasidas,2.833,5,adiqs
Qat,2.485,3,aqt
Qatar,2.639,4,aqrt
Qats,2.565,4,aqst
Qed,2.565,3,deq
Qere,2.565,3,eqr
Qeri,2.565,4,eiqr
Qiana,2.639,4,ainq
Qibla,2.773,5,abilq
Qid,2.565,3,diq
Qiyas,2.833,5,aiqsy
Qindar,2.773,6,adinqr
Qindarka,3.091,7,adiknqr
Qindars,2.833,7,adinqrs
Qintar,2.708,6,ainqrt
Qintars,2.773,7,ainqrst
Qiviut,2.89,5,iqtuv
Qiviuts,2.944,6,iqstuv
Qoheleth,3.135,6,ehloqt
Qoph,2.89,4,hopq
Qophs,2.944,5,hopqs
Qrs,2.485,3,qrs
Qtam,2.708,4,amqt
Qtd,2.565,3,dqt
Qty,2.708,3,qty
Qto,2.485,3,oqt
Qtr,2.485,3,qrt
Qts,2.485,3,qst
Qua,2.485,3,aqu
Quab,2.708,4,abqu
Quabird,2.944,7,abdiqru
Quachil,3.045,7,achilqu
Quack,2.996,5,ackqu
Quacked,3.135,7,acdekqu
Quackery,3.258,8,acekqruy
Quackeries,3.219,9,aceikqrsu
Quacky,3.178,6,ackquy
Quackier,3.135,8,aceikqru
Quackiest,3.178,9,aceikqstu
Quacking,3.178,8,acgiknqu
Quackish,3.258,8,achikqsu
Quackishly,3.434,10,achiklqsuy
Quackism,3.219,8,acikmqsu
Quackisms,3.258,8,acikmqsu
Quackle,3.091,7,aceklqu
Quacks,3.045,6,ackqsu
Quacksalver,3.367,10,aceklqrsuv
Quackster,3.178,9,acekqrstu
Quad,2.639,4,adqu
Quader,2.773,6,adeqru
Quadi,2.708,5,adiqu
Quadle,2.773,6,adelqu
Quadmeter,3.045,8,ademqrtu
Quadplex,3.296,8,adelpqux
Quadplexes,3.367,9,adelpqsux
Quadra,2.773,5,adqru
Quadrable,3.045,8,abdelqru
Quadrae,2.833,6,adeqru
Quadragenarian,3.219,9,adeginqru
Quadragenarious,3.258,11,adeginoqrsu
Quadragesima,3.219,10,adegimqrsu
Quadragesimal,3.258,11,adegilmqrsu
Quadragintesimal,3.367,13,adegilmnqrstu
Quadral,2.833,6,adlqru
Quadrangle,3.045,9,adeglnqru
Quadrangled,3.135,9,adeglnqru
Quadrangles,3.091,10,adeglnqrsu
Quadrangular,3.135,8,adglnqru
Quadrangularly,3.332,9,adglnqruy
Quadrangulate,3.178,10,adeglnqrtu
Quadranguled,3.178,9,adeglnqru
Quadrans,2.89,7,adnqrsu
Quadrant,2.89,7,adnqrtu
Quadrantal,2.996,8,adlnqrtu
Quadrantes,2.996,9,adenqrstu
Quadrantid,3.045,8,adinqrtu
Quadrantile,3.045,10,adeilnqrtu
Quadrantly,3.135,9,adlnqrtuy
Quadrantlike,3.258,11,adeiklnqrtu
Quadrants,2.944,8,adnqrstu
Quadraphonic,3.367,11,acdhinopqru
Quadraphonics,3.401,12,acdhinopqrsu
Quadrat,2.833,6,adqrtu
Quadrate,2.89,7,adeqrtu
Quadrated,2.996,7,adeqrtu
Quadrates,2.944,8,adeqrstu
