Word,Normalized Score,Unique Letter Count,Unique Letters
Sab,1.609,3,abs
Saba,1.792,3,abs
Sabadin,2.303,6,abdins
Sabadine,2.398,7,abdeins
Sabadinine,2.565,7,abdeins
Sabaean,2.197,5,abens
Sabaeanism,2.639,7,abeimns
Sabaeism,2.485,6,abeims
Sabayon,2.485,6,abnosy
Sabaism,2.398,5,abims
Sabaist,2.197,5,abist
Sabakha,2.773,5,abhks
Sabal,1.946,4,abls
Sabalaceae,2.639,6,abcels
Sabalo,2.079,5,ablos
Sabalos,2.197,5,ablos
Sabalote,2.303,7,abelost
Saban,1.946,4,abns
Sabana,2.079,4,abns
Sabanut,2.197,6,abnstu
Sabaoth,2.485,6,abhost
Sabathikos,2.944,8,abhikost
Sabaton,2.197,6,abnost
Sabatons,2.303,6,abnost
Sabazian,2.944,6,abinsz
Sabazianism,3.178,7,abimnsz
Sabazios,2.944,6,abiosz
Sabe,1.792,4,abes
Sabeca,2.303,5,abces
Sabed,2.079,5,abdes
Sabeing,2.303,7,abegins
Saber,1.946,5,abers
Sabered,2.303,6,abders
Sabering,2.398,8,abeginrs
Saberleg,2.398,7,abeglrs
Saberlike,2.708,8,abeiklrs
Sabers,2.079,5,abers
Saberwing,2.708,9,abeginrsw
Sabes,1.946,4,abes
Sabia,1.946,4,abis
Sabiaceae,2.565,6,abceis
Sabiaceous,2.639,8,abceiosu
Sabian,2.079,5,abins
Sabianism,2.565,6,abimns
Sabicu,2.303,6,abcisu
Sabik,2.398,5,abiks
Sabin,1.946,5,abins
Sabina,2.079,5,abins
Sabine,2.079,6,abeins
Sabines,2.197,6,abeins
Sabing,2.197,6,abgins
Sabinian,2.303,5,abins
Sabino,2.079,6,abinos
Sabins,2.079,5,abins
Sabir,1.946,5,abirs
Sabirs,2.079,5,abirs
Sable,1.946,5,abels
Sablefish,2.833,8,abefhils
Sablefishes,2.944,8,abefhils
Sables,2.079,5,abels
Sably,2.303,5,ablsy
Sabora,2.079,5,abors
Saboraim,2.485,7,abimors
Sabot,1.946,5,abost
Sabotage,2.398,7,abegost
Sabotaged,2.565,8,abdegost
Sabotages,2.485,7,abegost
Sabotaging,2.639,8,abginost
Saboted,2.303,7,abdeost
Saboteur,2.303,8,abeorstu
Saboteurs,2.398,8,abeorstu
Sabotier,2.303,8,abeiorst
Sabotine,2.303,8,abeinost
Sabots,2.079,5,abost
Sabra,1.946,4,abrs
Sabras,2.079,4,abrs
Sabre,1.946,5,abers
Sabred,2.197,6,abders
Sabres,2.079,5,abers
Sabretache,2.833,8,abcehrst
Sabreur,2.197,6,abersu
Sabrina,2.197,6,abinrs
Sabring,2.303,7,abginrs
Sabromin,2.485,8,abimnors
Sabs,1.792,3,abs
Sabuja,2.708,5,abjsu
Sabuline,2.303,8,abeilnsu
Sabulite,2.303,8,abeilstu
