Word,Normalized Score,Unique Letter Count,Unique Letters
Vac,2.079,3,acv
Vacabond,2.773,7,abcdnov
Vacance,2.639,5,acenv
Vacancy,2.833,5,acnvy
Vacancies,2.773,7,aceinsv
Vacandi,2.565,6,acdinv
Vacant,2.398,5,acntv
Vacante,2.485,6,acentv
Vacanthearted,3.091,9,acdehnrtv
Vacantia,2.565,6,acintv
Vacantly,2.773,7,aclntvy
Vacantry,2.773,7,acnrtvy
Vacatable,2.773,7,abceltv
Vacate,2.398,5,acetv
Vacated,2.565,6,acdetv
Vacates,2.485,6,acestv
Vacating,2.639,7,acgintv
Vacation,2.565,7,acinotv
Vacational,2.708,8,acilnotv
Vacationed,2.773,9,acdeinotv
Vacationer,2.708,9,aceinortv
Vacationers,2.773,10,aceinorstv
Vacationing,2.833,8,acginotv
Vacationist,2.773,8,acinostv
Vacationists,2.833,8,acinostv
Vacationland,2.89,9,acdilnotv
Vacations,2.639,8,acinostv
Vacatur,2.485,6,acrtuv
Vache,2.565,5,acehv
Vacherin,2.773,8,acehinrv
Vacoa,2.303,4,acov
Vacona,2.398,5,acnov
Vacoua,2.398,5,acouv
Vacouf,2.639,6,acfouv
Vacua,2.303,4,acuv
Vacual,2.398,5,acluv
Vacuate,2.485,6,acetuv
Vacuation,2.639,8,acinotuv
Vacuefy,2.89,7,acefuvy
Vacuist,2.485,7,acistuv
Vacuit,2.398,6,acituv
Vacuity,2.708,7,acituvy
Vacuities,2.639,8,aceistuv
Vacuo,2.303,5,acouv
Vacuolar,2.565,7,acloruv
Vacuolary,2.833,8,acloruvy
Vacuolate,2.639,8,acelotuv
Vacuolated,2.773,9,acdelotuv
Vacuolation,2.773,9,acilnotuv
Vacuole,2.485,7,acelouv
Vacuoles,2.565,8,acelosuv
Vacuolization,3.296,10,acilnotuvz
Vacuome,2.639,7,acemouv
Vacuometer,2.833,9,acemortuv
Vacuous,2.485,6,acosuv
Vacuously,2.833,8,aclosuvy
Vade,2.079,4,adev
Vadelect,2.639,7,acdeltv
Vady,2.398,4,advy
Vadim,2.398,5,adimv
Vadimony,2.833,8,adimnovy
Vadimonium,2.89,8,adimnouv
Vadis,2.197,5,adisv
Vadium,2.485,6,adimuv
Vadose,2.303,6,adeosv
