Word,Normalized Score,Unique Letter Count,Unique Letters
Xalostockite,3.219,10,aceiklostx
Xanthaline,2.996,8,aehilntx
Xanthamic,3.135,8,achimntx
Xanthamid,3.091,8,adhimntx
Xanthamide,3.135,9,adehimntx
Xanthan,2.833,5,ahntx
Xanthane,2.89,6,aehntx
Xanthans,2.89,6,ahnstx
Xanthate,2.89,6,aehntx
Xanthates,2.944,7,aehnstx
Xanthation,2.996,7,ahinotx
Xanthein,2.89,7,aehintx
Xantheins,2.944,8,aehinstx
Xanthelasma,3.135,9,aehlmnstx
Xanthelasmic,3.258,11,acehilmnstx
Xanthelasmoidea,3.332,12,adehilmnostx
Xanthene,2.89,6,aehntx
Xanthenes,2.944,7,aehnstx
Xanthian,2.89,6,ahintx
Xanthic,2.944,7,achintx
Xanthid,2.89,7,adhintx
Xanthide,2.944,8,adehintx
Xanthidium,3.135,9,adhimntux
Xanthydrol,3.178,10,adhlnortxy
Xanthyl,2.996,7,ahlntxy
Xanthin,2.833,6,ahintx
Xanthindaba,3.178,8,abdhintx
Xanthine,2.89,7,aehintx
Xanthines,2.944,8,aehinstx
Xanthins,2.89,7,ahinstx
Xanthinuria,3.045,8,ahinrtux
Xanthione,2.944,8,aehinotx
Xanthism,2.996,8,ahimnstx
Xanthisma,3.045,8,ahimnstx
Xanthite,2.89,7,aehintx
Xanthium,2.996,8,ahimntux
Xanthiuria,2.996,8,ahinrtux
Xanthocarpous,3.296,11,achnoprstux
Xanthocephalus,3.434,12,acehlnopstux
Xanthoceras,3.135,10,acehnorstx
Xanthochroi,3.258,9,achinortx
Xanthochroia,3.296,9,achinortx
Xanthochroic,3.367,9,achinortx
Xanthochroid,3.332,10,acdhinortx
Xanthochroism,3.401,11,achimnorstx
Xanthochromia,3.401,10,achimnortx
Xanthochromic,3.466,10,achimnortx
Xanthocyanopy,3.497,9,achnoptxy
Xanthocyanopia,3.434,10,achinoptxy
Xanthocyanopsy,3.526,10,achnopstxy
Xanthocyanopsia,3.466,11,achinopstxy
Xanthocobaltic,3.401,10,abchilnotx
Xanthocone,3.091,8,acehnotx
Xanthoconite,3.178,9,acehinotx
Xanthocreatinine,3.332,10,acehinortx
Xanthoderm,3.135,10,adehmnortx
Xanthoderma,3.178,10,adehmnortx
Xanthodermatous,3.332,12,adehmnorstux
Xanthodont,3.045,7,adhnotx
Xanthodontous,3.178,9,adhnostux
Xanthogen,2.996,8,aeghnotx
Xanthogenamic,3.332,11,aceghimnotx
Xanthogenamide,3.332,11,adeghimnotx
Xanthogenate,3.135,8,aeghnotx
Xanthogenic,3.178,10,aceghinotx
Xantholeucophore,3.497,12,acehlnoprtux
Xanthoma,2.996,7,ahmnotx
Xanthomas,3.045,8,ahmnostx
Xanthomata,3.091,7,ahmnotx
Xanthomatosis,3.219,9,ahimnostx
Xanthomatous,3.178,9,ahmnostux
Xanthomelanoi,3.219,10,aehilmnotx
Xanthomelanous,3.258,11,aehlmnostux
Xanthometer,3.135,9,aehmnortx
Xanthomyeloma,3.401,10,aehlmnotxy
Xanthomonas,3.135,8,ahmnostx
Xanthone,2.89,7,aehnotx
Xanthones,2.944,8,aehnostx
Xanthophane,3.258,8,aehnoptx
Xanthophyceae,3.497,10,acehnoptxy
Xanthophyl,3.332,9,ahlnoptxy
Xanthophore,3.258,9,aehnoprtx
Xanthophose,3.258,9,aehnopstx
Xanthopia,3.045,8,ahinoptx
Xanthopicrin,3.258,10,achinoprtx
Xanthopicrite,3.296,11,acehinoprtx
Xanthoproteic,3.296,11,acehinoprtx
Xanthoprotein,3.219,10,aehinoprtx
Xanthoproteinic,3.367,11,acehinoprtx
Xanthopsia,3.091,9,ahinopstx
Xanthopsydracia,3.497,13,acdhinoprstxy
Xanthopsin,3.091,9,ahinopstx
Xanthopterin,3.178,10,aehinoprtx
