Word,Normalized Score,Unique Letter Count,Unique Letters
Ada,1.386,2,ad
Adad,1.792,2,ad
Adage,1.946,4,adeg
Adai,1.609,3,adi
Adalid,2.079,4,adil
Adc,1.792,3,acd
Adhaka,2.639,4,adhk
Adib,1.946,4,abdi
Adicea,2.197,5,acdei
Adiel,1.792,5,adeil
Adj,2.398,3,adj
Adjag,2.639,4,adgj
Adlai,1.792,4,adil
Aecia,1.946,4,acei
Aecial,2.079,5,aceil
Aecidia,2.303,5,acdei
Aecidial,2.398,6,acdeil
Aegle,1.792,4,aegl
Afb,2.079,3,abf
Afield,2.303,6,adefil
Afifi,2.398,3,afi
Aga,1.386,2,ag
Agad,1.792,3,adg
Agada,1.946,3,adg
Agadic,2.303,5,acdgi
Agag,1.792,2,ag
Agal,1.609,3,agl
Age,1.386,3,aeg
Agla,1.609,3,agl
Aglaia,1.946,4,agil
Agleaf,2.303,5,aefgl
Aha,1.792,2,ah
Ahead,2.197,4,adeh
Aid,1.386,3,adi
Aiel,1.386,4,aeil
Aik,1.946,3,aik
Ail,1.099,3,ail
Aile,1.386,4,aeil
Ailie,1.609,4,aeil
Ajaja,2.944,2,aj
Aka,1.946,2,ak
Akal,2.079,3,akl
Akala,2.197,3,akl
Akali,2.197,4,aikl
Akcheh,2.89,5,acehk
Ake,1.946,3,aek
Akeake,2.639,3,aek
Akebi,2.398,5,abeik
Akebia,2.485,5,abeik
Akeki,2.565,4,aeik
Akela,2.197,4,aekl
Akha,2.398,3,ahk
Akia,2.079,3,aik
Ala,1.099,2,al
Alada,1.792,3,adl
Alae,1.386,3,ael
Alai,1.386,3,ail
Alaki,2.197,4,aikl
Alala,1.609,2,al
Alalia,1.792,3,ail
Alb,1.609,3,abl
Albe,1.792,4,abel
Albi,1.792,4,abil
Alc,1.609,3,acl
Alce,1.792,4,acel
Alcid,2.079,5,acdil
Alcidae,2.303,6,acdeil
Alclad,2.197,4,acdl
Ald,1.386,3,adl
Ale,1.099,3,ael
Alea,1.386,3,ael
Aleak,2.197,4,aekl
Alec,1.792,4,acel
Aleck,2.398,5,acekl
Alf,1.792,3,afl
Alfa,1.946,3,afl
Alfaje,2.773,5,aefjl
Alfaki,2.565,5,afikl
Alfalfa,2.565,3,afl
Alg,1.386,3,agl
Alga,1.609,3,agl
Algae,1.792,4,aegl
Algal,1.792,3,agl
Algalia,2.079,4,agil
Alia,1.386,3,ail
Alibi,1.946,4,abil
Alible,2.079,5,abeil
Alice,1.946,5,aceil
Alichel,2.485,6,acehil
Alicia,2.079,4,acil
Alick,2.398,5,acikl
Alida,1.792,4,adil
Alidad,2.079,4,adil
Alidada,2.197,4,adil
Alif,1.946,4,afil
Alike,2.197,5,aeikl
