Word,Normalized Score,Unique Letter Count,Unique Letters
Eably,2.303,5,abely
Eaceworm,2.708,7,acemorw
Each,2.197,4,aceh
Eachwhere,2.996,6,acehrw
Ead,1.386,3,ade
Eadi,1.609,4,adei
Eadios,1.946,6,adeios
Eadish,2.303,6,adehis
Eager,1.792,4,aegr
Eagerer,2.079,4,aegr
Eagerest,2.197,6,aegrst
Eagerly,2.398,6,aeglry
Eagers,1.946,5,aegrs
Eagle,1.792,4,aegl
Eagled,2.079,5,adegl
Eaglehawk,2.996,7,aeghklw
Eaglelike,2.639,6,aegikl
Eagles,1.946,5,aegls
Eaglestone,2.398,8,aeglnost
Eaglet,1.946,5,aeglt
Eaglets,2.079,6,aeglst
Eagling,2.197,6,aegiln
Eagre,1.792,4,aegr
Eagres,1.946,5,aegrs
Ealderman,2.485,7,adelmnr
Ealdorman,2.485,8,adelmnor
Ealdormen,2.485,8,adelmnor
Eam,1.609,3,aem
Ean,1.099,3,aen
Eaning,1.946,5,aegin
Eanling,2.079,6,aegiln
Eanlings,2.197,7,aegilns
Ear,1.099,3,aer
Earable,2.197,5,abelr
Earache,2.485,5,acehr
Earaches,2.565,6,acehrs
Earbash,2.485,6,abehrs
Earbob,2.303,5,abeor
Earcap,2.303,5,acepr
Earclip,2.398,7,aceilpr
Earcockle,2.833,7,aceklor
Eardrop,2.303,6,adeopr
Eardrops,2.398,7,adeoprs
Eardrum,2.303,6,ademru
Eardrums,2.398,7,ademrsu
Eared,1.792,4,ader
Earflap,2.485,6,aeflpr
Earflaps,2.565,7,aeflprs
Earflower,2.708,7,aeflorw
Earful,2.197,6,aeflru
Earfuls,2.303,7,aeflrsu
Earhead,2.398,5,adehr
Earhole,2.303,6,aehlor
Earing,1.946,6,aeginr
Earings,2.079,7,aeginrs
Earjewel,2.89,6,aejlrw
Earl,1.386,4,aelr
Earlap,2.079,5,aelpr
Earlaps,2.197,6,aelprs
Earldom,2.303,7,adelmor
Earldoms,2.398,8,adelmors
Earlduck,2.708,8,acdeklru
Earle,1.609,4,aelr
Earlet,1.792,5,aelrt
Early,2.079,5,aelry
Earlier,1.946,5,aeilr
Earliest,2.079,7,aeilrst
Earlyish,2.639,8,aehilrsy
Earlike,2.398,6,aeiklr
Earlish,2.303,7,aehilrs
Earlobe,2.197,6,abelor
Earlobes,2.303,7,abelors
Earlock,2.565,7,aceklor
Earlocks,2.639,8,aceklors
Earls,1.609,5,aelrs
Earlship,2.565,8,aehilprs
Earlships,2.639,8,aehilprs
Earmark,2.565,5,aekmr
Earmarked,2.773,6,adekmr
Earmarking,2.833,8,aegikmnr
Earmarkings,2.89,9,aegikmnrs
Earmarks,2.639,6,aekmrs
Earn,1.386,4,aenr
Earnable,2.303,6,abelnr
Earned,1.946,5,adenr
Earner,1.792,4,aenr
Earners,1.946,5,aenrs
Earnest,1.946,6,aenrst
Earnestful,2.565,9,aeflnrstu
Earnestly,2.485,8,aelnrsty
Earnests,2.079,6,aenrst
Earnful,2.303,7,aeflnru
Earnie,1.792,5,aeinr
Earning,2.079,6,aeginr
Earnings,2.197,7,aeginrs
Earns,1.609,5,aenrs
Earock,2.485,6,acekor
Earphone,2.565,7,aehnopr
Earphones,2.639,8,aehnoprs
