Word,Normalized Score,Unique Letter Count,Unique Letters
Hab,2.079,3,abh
Habab,2.485,3,abh
Habaera,2.485,5,abehr
Habanera,2.565,6,abehnr
Habaneras,2.639,7,abehnrs
Habdalah,2.833,5,abdhl
Habdalahs,2.89,6,abdhls
Habe,2.197,4,abeh
Habeas,2.398,5,abehs
Habena,2.398,5,abehn
Habenal,2.485,6,abehln
Habenar,2.485,6,abehnr
Habenaria,2.639,7,abehinr
Habendum,2.773,8,abdehmnu
Habenula,2.565,7,abehlnu
Habenulae,2.639,7,abehlnu
Habenular,2.639,8,abehlnru
Haberdash,2.89,7,abdehrs
Haberdasher,2.996,7,abdehrs
Haberdashery,3.178,8,abdehrsy
Haberdasheries,3.135,8,abdehirs
Haberdashers,3.045,7,abdehrs
Haberdine,2.708,8,abdehinr
Habere,2.398,5,abehr
Habergeon,2.708,8,abeghnor
Habet,2.303,5,abeht
Habilable,2.773,6,abehil
Habilant,2.565,7,abhilnt
Habilatory,2.89,9,abhilorty
Habile,2.398,6,abehil
Habilement,2.833,9,abehilmnt
Habiliment,2.833,9,abehilmnt
Habilimental,2.944,9,abehilmnt
Habilimentary,3.135,11,abehilmnrty
Habilimentation,3.091,10,abehilmnot
Habilimented,2.996,10,abdehilmnt
Habiliments,2.89,10,abehilmnst
Habilitate,2.708,7,abehilt
Habilitated,2.833,8,abdehilt
Habilitating,2.89,8,abghilnt
Habilitation,2.833,8,abhilnot
Habilitator,2.773,8,abhilort
Hability,2.773,7,abhilty
Habiri,2.398,5,abhir
Habiru,2.398,6,abhiru
Habit,2.303,5,abhit
Habitability,3.091,7,abhilty
Habitable,2.773,7,abehilt
Habitably,2.944,7,abhilty
Habitacle,2.773,8,abcehilt
Habitacule,2.833,9,abcehiltu
Habitan,2.485,6,abhint
Habitance,2.773,8,abcehint
Habitancy,2.944,8,abchinty
Habitancies,2.89,9,abcehinst
Habitans,2.565,7,abhinst
Habitant,2.565,6,abhint
Habitants,2.639,7,abhinst
Habitat,2.485,5,abhit
Habitatal,2.639,6,abhilt
Habitate,2.565,6,abehit
Habitatio,2.639,6,abhiot
Habitation,2.708,7,abhinot
Habitational,2.833,8,abhilnot
Habitations,2.773,8,abhinost
Habitative,2.89,7,abehitv
Habitator,2.639,7,abhiort
Habitats,2.565,6,abhist
Habited,2.565,7,abdehit
Habiting,2.639,7,abghint
Habits,2.398,6,abhist
Habitual,2.565,7,abhiltu
Habituality,2.944,8,abhiltuy
Habitualize,3.219,9,abehiltuz
Habituate,2.639,7,abehitu
Habituated,2.773,8,abdehitu
Habituates,2.708,8,abehistu
Habituating,2.833,8,abghintu
Habituation,2.773,8,abhinotu
Habituations,2.833,9,abhinostu
Habitude,2.639,8,abdehitu
Habitudes,2.708,9,abdehistu
Habitudinal,2.833,9,abdhilntu
Habitue,2.485,7,abehitu
Habitues,2.565,8,abehistu
Habiture,2.565,8,abehirtu
Habitus,2.485,7,abhistu
Hable,2.303,5,abehl
Habnab,2.565,4,abhn
Haboub,2.565,5,abhou
Habronema,2.773,8,abehmnor
Habronemiasis,2.996,10,abehimnors
Habronemic,2.944,10,abcehimnor
Habrowne,2.773,8,abehnorw
Habsburg,2.773,7,abghrsu
Habu,2.197,4,abhu
Habub,2.485,4,abhu
Habuka,2.708,5,abhku
Habus,2.303,5,abhsu
Habutae,2.485,6,abehtu
Habutai,2.485,6,abhitu
Habutaye,2.773,7,abehtuy
Hacek,2.639,5,acehk
Haceks,2.708,6,acehks
Hacendado,2.773,7,acdehno
Hache,2.565,4,aceh
Hachiman,2.89,6,achimn
Hachis,2.639,5,achis
Hachment,2.89,7,acehmnt
