Word,Normalized Score,Unique Letter Count,Unique Letters
Iachimo,2.639,6,achimo
Iago,1.609,4,agio
Iamatology,2.773,8,agilmoty
Iamb,2.079,4,abim
Iambe,2.197,5,abeim
Iambelegus,2.708,9,abegilmsu
Iambi,2.197,4,abim
Iambic,2.485,5,abcim
Iambical,2.639,6,abcilm
Iambics,2.565,6,abcims
Iambist,2.398,6,abimst
Iambize,2.996,6,abeimz
Iambographer,3.091,10,abeghimopr
Iambs,2.197,5,abims
Iambus,2.303,6,abimsu
Iambuses,2.485,7,abeimsu
Ian,1.099,3,ain
Ianthina,2.398,5,ahint
Ianthine,2.398,6,aehint
Ianthinite,2.565,6,aehint
Ianus,1.609,5,ainsu
Iao,1.099,3,aio
Iapetus,2.197,7,aeipstu
Iapyges,2.565,7,aegipsy
Iapygian,2.639,6,aginpy
Iare,1.386,4,aeir
Iarovization,3.178,8,ainortvz
Iarovize,2.996,7,aeiorvz
Iarovized,3.091,8,adeiorvz
Iarovizing,3.135,8,aginorvz
Iatraliptic,2.708,7,acilprt
Iatraliptics,2.773,8,acilprst
Iatric,2.079,5,acirt
Iatrical,2.303,6,acilrt
Iatrochemic,2.996,9,acehimort
Iatrochemical,3.091,10,acehilmort
Iatrochemist,2.944,10,acehimorst
Iatrochemistry,3.178,11,acehimorsty
Iatrogenic,2.565,9,aceginort
Iatrogenicity,2.944,10,aceginorty
Iatrology,2.565,8,agilorty
Iatrological,2.708,8,acgilort
Iatromathematical,3.258,10,acehilmort
Iatromathematician,3.296,10,acehimnort
Iatromathematics,3.219,10,acehimorst
Iatromechanical,3.178,11,acehilmnort
Iatromechanist,3.045,11,acehimnorst
Iatrophysical,3.135,11,achiloprsty
Iatrophysicist,3.178,10,achioprsty
Iatrophysics,3.091,10,achioprsty
Iatrotechnics,2.996,10,acehinorst
Iba,1.609,3,abi
Ibad,1.946,4,abdi
Ibadite,2.303,6,abdeit
Iban,1.792,4,abin
Ibanag,2.197,5,abgin
Iberes,2.079,5,beirs
Iberi,1.946,4,beir
Iberia,2.079,5,abeir
Iberian,2.197,6,abeinr
Iberians,2.303,7,abeinrs
Iberic,2.303,5,bceir
Iberis,2.079,5,beirs
Iberism,2.398,6,beimrs
Iberite,2.197,5,beirt
Ibex,2.565,4,beix
Ibexes,2.708,5,beisx
Ibices,2.303,5,bceis
Ibycter,2.639,7,bceirty
Ibycus,2.565,6,bcisuy
Ibid,1.946,3,bdi
Ibidem,2.398,5,bdeim
Ibididae,2.485,5,abdei
Ibidinae,2.398,6,abdein
Ibidine,2.303,5,bdein
Ibidium,2.485,5,bdimu
Ibilao,2.079,5,abilo
Ibis,1.792,3,bis
Ibises,2.079,4,beis
Ibm,1.946,3,bim
