Word,Normalized Score,Unique Letter Count,Unique Letters
Jab,2.485,3,abj
Jabalina,2.833,6,abijln
Jabarite,2.833,7,abeijrt
Jabers,2.708,6,abejrs
Jabia,2.639,4,abij
Jabiru,2.708,6,abijru
Jabirus,2.773,7,abijrsu
Jaborandi,2.944,8,abdijnor
Jaborandis,2.996,9,abdijnors
Jaborin,2.773,7,abijnor
Jaborine,2.833,8,abeijnor
Jabot,2.639,5,abjot
Jaboticaba,3.135,7,abcijot
Jabots,2.708,6,abjost
Jabs,2.565,4,abjs
Jabul,2.639,5,abjlu
Jabules,2.773,7,abejlsu
Jaburan,2.773,6,abjnru
Jacal,2.639,4,acjl
Jacales,2.773,6,acejls
Jacals,2.708,5,acjls
Jacaltec,2.944,6,acejlt
Jacalteca,2.996,6,acejlt
Jacamar,2.89,5,acjmr
Jacamaralcyon,3.367,9,acjlmnory
Jacamars,2.944,6,acjmrs
Jacameropine,3.219,10,aceijmnopr
Jacamerops,3.135,9,acejmoprs
Jacami,2.833,5,acijm
Jacamin,2.89,6,acijmn
Jacana,2.708,4,acjn
Jacanas,2.773,5,acjns
Jacanidae,2.944,7,acdeijn
Jacaranda,2.944,6,acdjnr
Jacarandas,2.996,7,acdjnrs
Jacarandi,2.944,7,acdijnr
Jacare,2.708,5,acejr
Jacate,2.708,5,acejt
Jacens,2.708,6,acejns
Jacent,2.708,6,acejnt
Jacht,2.833,5,achjt
Jacinth,2.944,7,achijnt
Jacinthe,2.996,8,acehijnt
Jacinthes,3.045,9,acehijnst
Jacinths,2.996,8,achijnst
Jacitara,2.833,6,acijrt
Jack,2.833,4,acjk
Jackal,2.944,5,acjkl
Jackals,2.996,6,acjkls
Jackanapes,3.219,8,acejknps
Jackanapeses,3.296,8,acejknps
Jackanapish,3.367,9,achijknps
Jackash,3.135,6,achjks
Jackbird,3.178,8,abcdijkr
Jackboy,3.219,7,abcjkoy
Jackbox,3.367,7,abcjkox
Jackdaw,3.178,6,acdjkw
Jackdaws,3.219,7,acdjksw
Jacked,2.996,6,acdejk
Jackey,3.091,6,acejky
Jacker,2.944,6,acejkr
Jackers,2.996,7,acejkrs
Jacket,2.944,6,acejkt
Jacketed,3.091,7,acdejkt
Jackety,3.135,7,acejkty
Jacketing,3.135,9,acegijknt
Jacketlike,3.296,8,aceijklt
Jackets,2.996,7,acejkst
Jacketwise,3.258,9,aceijkstw
Jackfish,3.296,8,acfhijks
Jackfishes,3.367,9,acefhijks
Jackfruit,3.219,9,acfijkrtu
Jackhead,3.219,7,acdehjk
Jacky,3.045,5,acjky
Jackyard,3.219,7,acdjkry
Jackyarder,3.296,8,acdejkry
Jackie,2.944,6,aceijk
Jackye,3.091,6,acejky
Jackies,2.996,7,aceijks
Jacking,3.045,7,acgijkn
Jackleg,3.045,7,acegjkl
Jacklegs,3.091,8,acegjkls
Jacklight,3.258,9,acghijklt
Jacklighter,3.332,11,aceghijklrt
Jackman,3.091,6,acjkmn
Jackmen,3.091,7,acejkmn
Jacknifed,3.258,9,acdefijkn
Jacknifing,3.296,8,acfgijkn
Jacknives,3.219,9,aceijknsv
Jacko,2.89,5,acjko
Jackpile,3.135,8,aceijklp
Jackpiling,3.258,9,acgijklnp
Jackplane,3.178,8,acejklnp
Jackpot,3.091,7,acjkopt
Jackpots,3.135,8,acjkopst
Jackrod,3.045,7,acdjkor
Jacks,2.89,5,acjks
Jacksaw,3.135,6,acjksw
Jackscrew,3.296,8,acejkrsw
Jackscrews,3.332,8,acejkrsw
Jackshaft,3.332,8,acfhjkst
Jackshay,3.296,7,achjksy
Jackshea,3.178,7,acehjks
Jackslave,3.219,8,acejklsv
Jacksmelt,3.178,9,acejklmst
Jacksmelts,3.219,9,acejklmst
Jacksmith,3.296,9,achijkmst
Jacksnipe,3.178,9,aceijknps
Jacksnipes,3.219,9,aceijknps
Jackson,2.996,7,acjknos
Jacksonia,3.091,8,acijknos
Jacksonian,3.135,8,acijknos
Jacksonite,3.135,10,aceijknost
Jackstay,3.178,7,acjksty
Jackstays,3.219,7,acjksty
Jackstock,3.332,7,acjkost
Jackstone,3.091,9,acejknost
Jackstones,3.135,9,acejknost
Jackstraw,3.219,8,acjkrstw
Jackstraws,3.258,8,acjkrstw
Jacktan,2.996,6,acjknt
Jacktar,2.996,6,acjkrt
Jacob,2.773,5,abcjo
Jacobaea,2.944,6,abcejo
Jacobaean,2.996,7,abcejno
Jacobean,2.944,7,abcejno
Jacoby,2.996,6,abcjoy
Jacobian,2.944,7,abcijno
Jacobic,2.996,6,abcijo
Jacobin,2.89,7,abcijno
Jacobinia,2.996,7,abcijno
Jacobinic,3.091,7,abcijno
Jacobinical,3.178,8,abcijlno
Jacobinism,3.135,9,abcijmnos
Jacobinization,3.526,9,abcijnotz
Jacobinize,3.401,9,abceijnoz
Jacobins,2.944,8,abcijnos
Jacobite,2.944,8,abceijot
Jacobitely,3.178,10,abceijloty
Jacobitiana,3.091,8,abcijnot
Jacobitic,3.091,7,abcijot
Jacobitical,3.178,8,abcijlot
Jacobitish,3.178,9,abchijost
