Word,Normalized Score,Unique Letter Count,Unique Letters
Kab,2.197,3,abk
Kabab,2.565,3,abk
Kababish,2.944,6,abhiks
Kababs,2.639,4,abks
Kabaya,2.708,4,abky
Kabayas,2.773,5,abksy
Kabaka,2.773,3,abk
Kabakas,2.833,4,abks
Kabala,2.485,4,abkl
Kabalas,2.565,5,abkls
Kabar,2.398,4,abkr
Kabaragoya,2.996,7,abgkory
Kabard,2.565,5,abdkr
Kabardian,2.773,7,abdiknr
Kabars,2.485,5,abkrs
Kabel,2.398,5,abekl
Kabeljou,3.045,8,abejklou
Kabeljous,3.091,9,abejklosu
Kaberu,2.485,6,abekru
Kabiet,2.485,6,abeikt
Kabiki,2.773,4,abik
Kabikis,2.833,5,abiks
Kabyle,2.708,6,abekly
Kabirpanthi,3.091,9,abhiknprt
Kabistan,2.639,7,abiknst
Kabob,2.565,4,abko
Kabobs,2.639,5,abkos
Kabonga,2.639,6,abgkno
Kabs,2.303,4,abks
Kabuki,2.773,5,abiku
Kabukis,2.833,6,abiksu
Kabuli,2.485,6,abiklu
Kabuzuchi,3.367,8,abchikuz
Kacha,2.639,4,achk
Kachari,2.773,6,achikr
Kachcha,3.045,4,achk
Kachin,2.708,6,achikn
Kachina,2.773,6,achikn
Kachinas,2.833,7,achikns
Kadaga,2.485,4,adgk
Kadaya,2.639,4,adky
Kadayan,2.708,5,adkny
Kadarite,2.565,7,adeikrt
Kadein,2.398,6,adeikn
Kadi,2.197,4,adik
Kadikane,2.833,6,adeikn
Kadine,2.398,6,adeikn
Kadis,2.303,5,adiks
Kadischi,2.89,7,acdhiks
Kadish,2.639,6,adhiks
Kadishim,2.89,7,adhikms
Kadmi,2.485,5,adikm
Kados,2.303,5,adkos
Kadsura,2.485,6,adkrsu
Kadu,2.197,4,adku
Kae,1.946,3,aek
Kaempferol,3.045,9,aefklmopr
Kaes,2.079,4,aeks
Kaf,2.303,3,afk
Kafa,2.398,3,afk
Kaferita,2.708,7,aefikrt
Kafila,2.565,5,afikl
Kafir,2.485,5,afikr
Kafiri,2.565,5,afikr
Kafirin,2.639,6,afiknr
Kafirs,2.565,6,afikrs
Kafiz,3.045,5,afikz
Kafka,2.773,3,afk
Kafkaesque,3.401,7,aefkqsu
Kafta,2.485,4,afkt
Kaftan,2.565,5,afknt
Kaftans,2.639,6,afknst
Kago,2.197,4,agko
Kagos,2.303,5,agkos
Kagu,2.197,4,agku
Kagura,2.398,5,agkru
Kagus,2.303,5,agksu
Kaha,2.398,3,ahk
Kahala,2.565,4,ahkl
Kahar,2.485,4,ahkr
Kahau,2.485,4,ahku
Kahawai,2.833,5,ahikw
Kahikatea,2.996,6,aehikt
Kahili,2.565,5,ahikl
Kahu,2.398,4,ahku
Kahuna,2.565,5,ahknu
Kahunas,2.639,6,ahknsu
Kai,1.946,3,aik
Kay,2.303,3,aky
Kaiak,2.565,3,aik
Kayak,2.773,3,aky
Kayaker,2.89,5,aekry
Kayakers,2.944,6,aekrsy
Kaiaks,2.639,4,aiks
Kayaks,2.833,4,aksy
Kayan,2.485,4,akny
Kayasth,2.833,6,ahksty
Kayastha,2.89,6,ahksty
Kaibab,2.639,4,abik
Kaibartha,2.89,7,abhikrt
Kaid,2.197,4,adik
Kaif,2.398,4,afik
Kaifs,2.485,5,afiks
Kaik,2.485,3,aik
Kaikara,2.708,4,aikr
Kaikawaka,3.178,4,aikw
Kail,2.079,4,aikl
Kayles,2.565,6,aeklsy
Kailyard,2.773,7,adiklry
Kailyarder,2.89,8,adeiklry
Kailyardism,3.045,9,adiklmrsy
Kailyards,2.833,8,adiklrsy
Kails,2.197,5,aikls
Kaimakam,2.996,4,aikm
Kaiman,2.485,5,aikmn
Kaimo,2.398,5,aikmo
Kain,2.079,4,aikn
Kainah,2.565,5,ahikn
Kainga,2.398,5,agikn
Kaingin,2.485,5,agikn
Kainyn,2.565,5,aikny
Kainit,2.303,5,aiknt
Kainite,2.398,6,aeiknt
Kainites,2.485,7,aeiknst
Kainits,2.398,6,aiknst
Kainogenesis,2.833,8,aegiknos
Kainozoic,3.178,7,aciknoz
Kains,2.197,5,aikns
Kainsi,2.303,5,aikns
Kayo,2.398,4,akoy
Kayoed,2.639,6,adekoy
Kayoes,2.565,6,aekosy
Kayoing,2.708,7,agiknoy
Kayos,2.485,5,akosy
Kairin,2.303,5,aiknr
Kairine,2.398,6,aeiknr
Kairolin,2.485,7,aiklnor
Kairoline,2.565,8,aeiklnor
Kairos,2.303,6,aikors
Kairotic,2.639,7,acikort
Kays,2.398,4,aksy
Kaiser,2.303,6,aeikrs
Kaiserdom,2.773,9,adeikmors
Kaiserin,2.485,7,aeiknrs
Kaiserins,2.565,7,aeiknrs
Kaiserism,2.708,7,aeikmrs
Kaisers,2.398,6,aeikrs
Kaisership,2.944,8,aehikprs
Kaitaka,2.708,4,aikt
Kaithi,2.565,5,ahikt
Kaivalya,2.89,6,aiklvy
Kayvan,2.773,5,aknvy
Kayward,2.89,6,adkrwy
Kaiwhiria,2.944,6,ahikrw
Kaiwi,2.485,4,aikw
Kaj,2.639,3,ajk
Kajar,2.773,4,ajkr
Kajawah,3.178,5,ahjkw
Kajeput,2.996,7,aejkptu
Kajeputs,3.045,8,aejkpstu
Kajugaru,2.996,6,agjkru
Kaka,2.485,2,ak
Kakan,2.565,3,akn
Kakapo,2.773,4,akop
Kakapos,2.833,5,akops
Kakar,2.565,3,akr
Kakarali,2.773,5,aiklr
Kakariki,2.996,4,aikr
Kakas,2.565,3,aks
Kakatoe,2.708,5,aekot
Kakatoidae,2.944,7,adeikot
Kakawahie,3.135,6,aehikw
Kakemono,2.89,6,aekmno
Kakemonos,2.944,7,aekmnos
Kaki,2.485,3,aik
Kakidrosis,2.944,7,adikors
Kakis,2.565,4,aiks
Kakistocracy,3.296,9,acikorsty
Kakistocracies,3.258,9,aceikorst
